ingredient,fdc_id,description,data_type,brand_owner,source,flag,mapping_status,semantic_match_score,nutritional_similarity_score,reasoning,retry_attempts,search_queries_used,timestamp,nutrient-alanine,nutrient-alcohol,nutrient-alpha-carotene,nutrient-apigenin,nutrient-arginine,nutrient-ash,nutrient-aspartic-acid,nutrient-beta-carotene,nutrient-caffeine,nutrient-calcium,nutrient-calories-energy,nutrient-catechin,nutrient-cholesterol,nutrient-choline,nutrient-copper,nutrient-cryptoxanthin,nutrient-cyanidin,nutrient-cystine,nutrient-delphinidin,nutrient-dietary-fiber,nutrient-epicatechin,nutrient-epicatechin-3-gallate,nutrient-epigallocatechin,nutrient-epigallocatechin-3-gallate,nutrient-eriodictyol,nutrient-fluoride,nutrient-folate-folic-acid,nutrient-gallocatechin,nutrient-glutamic-acid,nutrient-glycemic-index,nutrient-glycemic-load,nutrient-glycine,nutrient-hesperetin,nutrient-histidine,nutrient-inflammation-score,nutrient-iron,nutrient-isoleucine,nutrient-isorhamnetin,nutrient-kaempferol,nutrient-leucine,nutrient-lutein-zeaxanthin,nutrient-luteolin,nutrient-lycopene,nutrient-lysine,nutrient-magnesium,nutrient-malvidin,nutrient-manganese,nutrient-methionine,nutrient-monounsaturated-fat,nutrient-mufa-16-1-palmitoleic,nutrient-mufa-18-1-oleic,nutrient-mufa-20-1,nutrient-mufa-22-1,nutrient-myricetin,nutrient-naringenin,nutrient-net-carbohydrates,nutrient-niacin-b3,nutrient-nutrition-score,nutrient-pelargonidin,nutrient-peonidin,nutrient-percent-calories-from-carbohydrates,nutrient-percent-calories-from-fat,nutrient-percent-calories-from-protein,nutrient-petunidin,nutrient-phenylalanine,nutrient-phosphorus,nutrient-polyunsaturated-fat,nutrient-potassium,nutrient-proline,nutrient-protein,nutrient-pufa-18-2-linoleic,nutrient-pufa-18-3-alpha-linolenic,nutrient-pufa-18-4,nutrient-pufa-20-4-arachidonic,nutrient-pufa-20-5-epa,nutrient-pufa-22-5-dpa,nutrient-pufa-22-6-dha,nutrient-quercetin,nutrient-retinol,nutrient-riboflavin-b2,nutrient-saturated-fat,nutrient-selenium,nutrient-serine,nutrient-sfa-10-0-capric,nutrient-sfa-12-0-lauric,nutrient-sfa-14-0-myristic,nutrient-sfa-16-0-palmitic,nutrient-sfa-18-0-stearic,nutrient-sfa-4-0-butyric,nutrient-sfa-6-0-caproic,nutrient-sfa-8-0-caprylic,nutrient-sodium,nutrient-theaflavin,nutrient-theaflavin-3-3-digallate,nutrient-theaflavin-3-gallate,nutrient-thearubigins,nutrient-theobromine,nutrient-thiamin-b1,nutrient-threonine,nutrient-total-carbohydrates,nutrient-total-fat,nutrient-total-sugars,nutrient-trans-fat,nutrient-tryptophan,nutrient-tyrosine,nutrient-valine,nutrient-vitamin-a-rae,nutrient-vitamin-b12,nutrient-vitamin-b5-pantothenic-acid,nutrient-vitamin-b6,nutrient-vitamin-c-ascorbic-acid,nutrient-vitamin-d,nutrient-vitamin-e-alpha-tocopherol,nutrient-vitamin-k-phylloquinone,nutrient-water,nutrient-zinc
apple cider vinegar,173469,"Vinegar, cider",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,apple cider vinegar; vinegar apple; vinegar cider,2026-01-09T19:50:37.985453,,,,,,0.17 g,,,,7.0 mg,90.0 kJ,,,,0.008 mg,,,,,,,,,,,,,,,,,,,,,0.2 mg,,,,,,,,,5.0 mg,,0.249 mg,,,,,,,,,,,,,,,,,,,8.0 mg,,73.0 mg,,,,,,,,,,,,,,0.1 µg,,,,,,,,,,5.0 mg,,,,,,,,0.93 g,,0.4 g,,,,,,,,,,,,,93.81 g,0.04 mg
white vinegar,172237,"Vinegar, distilled",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,vinegar white,2026-01-09T19:50:48.173553,,,,,,0.02 g,,,,6.0 mg,76.0 kJ,,,,0.006 mg,,,,,,,,,,,,,,,,,,,,,0.03 mg,,,,,,,,,1.0 mg,,0.055 mg,,,,,,,,,,,,,,,,,,,4.0 mg,,2.0 mg,,,,,,,,,,,,,,0.5 µg,,,,,,,,,,2.0 mg,,,,,,,,0.04 g,,0.04 g,,,,,,,,,,,,,94.78 g,0.01 mg
rice vinegar,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"vinegar rice, rice vinegar raw, grain rice",2026-01-09T19:50:57.703638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vegetable stock,171583,"Soup, vegetable broth, ready to serve",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,95,,Direct mapping based on high semantic match score (95.0%). Step 4 (nutritional similarity) was skipped.,2,"vegetable stock OR vegetable broth OR ""broth vegetable"" OR ""stock vegetable, vegetable broth broths vegetable stock raw",2026-01-09T19:52:34.149595,,,,,,0.71 g,,,,3.0 mg,22.0 kJ,,,0.3 mg,0.009 mg,,,,,,,,,,,,,,,,,,,,,0.06 mg,,,,,1.0 µg,,7.0 µg,,1.0 mg,,0.006 mg,,0.005 g,,,,,,,,0.11 mg,,,,,,,,,3.0 mg,0.004 g,19.0 mg,,0.24 g,,,,,,,,,,0.022 mg,0.028 g,,,,,,,,,,,296.0 mg,,,,,,0.023 mg,,0.93 g,,0.55 g,,,,,12.0 µg,,0.06 mg,0.007 mg,0.4 mg,,,0.7 µg,98.05 g,0.03 mg
bone broth,,,,,,NO_MAPPING_FOUND,semantic_mismatch,,,No semantically valid matches found after 3 attempts,3,"bone broth, broth bone raw, bone",2026-01-09T19:53:24.994335,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
prosciutto,168282,"Pork, cured, ham, center slice, country-style, separable lean only, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,90,,Direct mapping based on high semantic match score (90.0%). Step 4 (nutritional similarity) was skipped.,2,"prosciutto ham, prosciutto ham raw",2026-01-09T19:56:39.323909,1.641 g,,,,1.806 g,7.65 g,2.633 g,,,10.0 mg,816.0 kJ,,70.0 mg,105.5 mg,0.108 mg,,,0.418 g,,,,,,,,,,,4.532 g,,,1.446 g,,0.996 g,,1.11 mg,1.219 g,,,2.206 g,,,,2.357 g,25.0 mg,,0.048 mg,0.734 g,3.821 g,,,,,,,,3.881 mg,,,,,,,,1.201 g,318.0 mg,0.97 g,510.0 mg,1.188 g,27.8 g,,,,,,,,,,0.242 mg,2.78 g,25.8 µg,1.139 g,,,,,,,,,2695.0 mg,,,,,,0.567 mg,1.237 g,0.3 g,8.32 g,,,0.334 g,0.912 g,1.205 g,,0.88 µg,0.402 mg,0.42 mg,,0.9 µg,0.28 mg,,55.93 g,2.81 mg
prawns,175179,"Crustaceans, shrimp, raw",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,95,,Direct mapping based on high semantic match score (95.0%). Step 4 (nutritional similarity) was skipped.,1,shrimp raw,2026-01-09T20:00:52.668851,,,,,,1.23 g,,,,64.0 mg,356.0 kJ,,161.0 mg,,0.391 mg,,,,,,,,,,,,,,,,,,,,,0.52 mg,,,,,,,,,35.0 mg,,0.033 mg,,0.086 g,,,,,,,,,,,,,,,,,214.0 mg,0.152 g,264.0 mg,,20.1 g,,,,,,,,,,,0.101 g,,,,,,,,,,,119.0 mg,,,,,,,,,0.001 g,,0.004 g,,,,,,,,,,,,78.45 g,1.34 mg
seitan,168147,Vital wheat gluten,SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,seitan wheat gluten,2026-01-09T20:01:05.753730,,,,,,1.0 g,,,,142.0 mg,1548.0 kJ,,,,0.182 mg,,,,,0.6 g,,,,,,,,,,,,,,,,5.2 mg,,,,,,,,,25.0 mg,,,,0.156 g,,,,,,,,,,,,,,,,,260.0 mg,0.81 g,100.0 mg,,75.16 g,,,,,,,,,,,0.272 g,39.7 µg,,,,,,,,,,29.0 mg,,,,,,,,13.79 g,1.85 g,,,,,,,,,,,,,,8.2 g,0.85 mg
penne,169736,"Pasta, dry, enriched",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,95,,Direct mapping based on high semantic match score (95.0%). Step 4 (nutritional similarity) was skipped.,1,pasta penne,2026-01-09T20:01:18.873060,0.438 g,,,,0.474 g,0.88 g,0.624 g,,,21.0 mg,1553.0 kJ,,,15.1 mg,0.289 mg,,,0.255 g,,3.2 g,,,,,,18.0 µg,219.0 µg,,4.596 g,,,0.441 g,,0.298 g,,3.3 mg,0.511 g,,,0.988 g,18.0 µg,,,0.298 g,53.0 mg,,0.917 mg,0.147 g,0.171 g,,,,,,,,7.177 mg,,,,,,,,0.668 g,189.0 mg,0.564 g,223.0 mg,1.569 g,13.04 g,,,,,,,,,,0.4 mg,0.277 g,63.2 µg,0.617 g,,,,,,,,,6.0 mg,,,,,,0.891 mg,0.462 g,74.67 g,,2.67 g,,0.185 g,0.243 g,0.588 g,,,0.431 mg,0.142 mg,,,0.11 mg,0.1 µg,9.9 g,1.41 mg
fusilli,169736,"Pasta, dry, enriched",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,95,,Direct mapping based on high semantic match score (95.0%). Step 4 (nutritional similarity) was skipped.,1,pasta fusilli,2026-01-09T20:01:34.271660,0.438 g,,,,0.474 g,0.88 g,0.624 g,,,21.0 mg,1553.0 kJ,,,15.1 mg,0.289 mg,,,0.255 g,,3.2 g,,,,,,18.0 µg,219.0 µg,,4.596 g,,,0.441 g,,0.298 g,,3.3 mg,0.511 g,,,0.988 g,18.0 µg,,,0.298 g,53.0 mg,,0.917 mg,0.147 g,0.171 g,,,,,,,,7.177 mg,,,,,,,,0.668 g,189.0 mg,0.564 g,223.0 mg,1.569 g,13.04 g,,,,,,,,,,0.4 mg,0.277 g,63.2 µg,0.617 g,,,,,,,,,6.0 mg,,,,,,0.891 mg,0.462 g,74.67 g,,2.67 g,,0.185 g,0.243 g,0.588 g,,,0.431 mg,0.142 mg,,,0.11 mg,0.1 µg,9.9 g,1.41 mg
lasagna noodles,169731,"Noodles, egg, dry, enriched",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,90,,Direct mapping based on high semantic match score (90.0%). Step 4 (nutritional similarity) was skipped.,1,lasagna noodles dry,2026-01-09T20:01:56.780304,0.516 g,,,,0.6 g,1.12 g,0.762 g,,,35.0 mg,1609.0 kJ,,84.0 mg,78.7 mg,0.297 mg,1.0 µg,,0.299 g,,3.3 g,,,,,,,201.0 µg,,4.58 g,,,0.496 g,,0.378 g,,4.01 mg,0.593 g,,,1.139 g,110.0 µg,,,0.429 g,58.0 mg,,0.855 mg,0.268 g,1.252 g,,,,,,,,8.387 mg,,,,,,,,0.748 g,241.0 mg,1.331 g,244.0 mg,1.544 g,14.16 g,,,,,,,,,17.0 µg,0.426 mg,1.18 g,78.8 µg,0.803 g,,,,,,,,,21.0 mg,,,,,,1.133 mg,0.43 g,71.27 g,4.44 g,1.88 g,0.061 g,0.133 g,0.293 g,0.686 g,17.0 µg,0.29 µg,0.912 mg,0.216 mg,,0.3 µg,0.37 mg,0.5 µg,9.01 g,1.92 mg
soba noodles,168907,"Noodles, japanese, soba, cooked",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,noodles buckwheat cooked,2026-01-09T20:02:10.438690,0.248 g,,,,0.317 g,0.39 g,0.372 g,,,4.0 mg,414.0 kJ,,,,0.008 mg,,,0.094 g,,,,,,,,,,,1.096 g,,,0.332 g,,0.119 g,,0.48 mg,0.195 g,,,0.33 g,,,,0.214 g,9.0 mg,,0.374 mg,0.072 g,0.026 g,,,,,,,,0.51 mg,,,,,,,,0.217 g,25.0 mg,0.031 g,35.0 mg,0.306 g,5.06 g,,,,,,,,,,0.026 mg,0.019 g,,0.26 g,,,,,,,,,60.0 mg,,,,,,0.094 mg,0.177 g,21.44 g,0.1 g,,,0.072 g,0.105 g,0.249 g,,,0.235 mg,0.04 mg,,,,,73.01 g,0.12 mg
baguette,172686,"Bread, wheat",SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,90,,Direct mapping based on high semantic match score (90.0%). Step 4 (nutritional similarity) was skipped.,1,baguette bread,2026-01-09T20:05:31.049121,,,,,,2.01 g,,,,125.0 mg,1145.0 kJ,,,18.7 mg,0.148 mg,,,,,4.0 g,,,,,,,20.0 µg,,,,,,,,,3.6 mg,,,,,44.0 µg,,,,41.0 mg,,1.026 mg,,0.612 g,,,,,,,,5.59 mg,,,,,,,,,129.0 mg,1.615 g,141.0 mg,,10.67 g,,,,,,,,,,0.252 mg,0.697 g,28.8 µg,,,,,,,,,,473.0 mg,,,,,,0.411 mg,,47.54 g,0.006 g,5.73 g,0.033 g,,,,,,0.82 mg,0.111 mg,0.2 mg,,0.19 mg,4.9 µg,35.25 g,1.04 mg
xanthan gum,,,,,,NO_MAPPING_FOUND,no_search_results,60,59,No search results found after 3 attempts with different queries,3,"xanthan gum, xanthan gum"" OR ""gums xanthan raw, xanthan",2026-01-09T20:05:49.671510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
psyllium husk,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"psyllium husk psyllium seed husk Plantago ovata husk, psyllium husk raw, psyllium",2026-01-09T20:08:03.611206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
miso paste,172442,Miso,SR Legacy,,search,HIGH_CONFIDENCE,search_verified_semantic_high,100,,Direct mapping based on high semantic match score (100.0%). Step 4 (nutritional similarity) was skipped.,1,miso paste,2026-01-09T20:08:39.112077,0.5 g,,,,0.784 g,12.81 g,1.171 g,,,57.0 mg,828.0 kJ,,,72.2 mg,0.42 mg,,,,,5.4 g,,,,,,,,,1.915 g,,,0.447 g,,0.243 g,,2.49 mg,0.508 g,,,0.82 g,,,,0.478 g,48.0 mg,,0.859 mg,0.129 g,1.118 g,,,,,,,,0.906 mg,,,,,,,,0.486 g,159.0 mg,2.884 g,210.0 mg,0.619 g,12.79 g,,,,,,,,,,0.233 mg,1.025 g,7.0 µg,0.601 g,,,,,,,,,3728.0 mg,,,,,,0.098 mg,0.479 g,25.37 g,6.01 g,6.2 g,,0.155 g,0.352 g,0.547 g,4.0 µg,0.08 µg,0.337 mg,0.199 mg,,,0.01 mg,29.3 µg,43.02 g,2.56 mg
gochujang,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"gochujang paste, gochujang paste raw, gochujang",2026-01-09T20:09:46.937235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
harissa,,,,,,NO_MAPPING_FOUND,no_search_results,,,No search results found after 3 attempts with different queries,3,"harissa paste, harissa paste raw, harissa",2026-01-09T20:10:31.390783,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
